ID	CCLE_name	Cell_line_primary_name	Gender	Batch	Site_Primary	Histology	Hist_Subtype1
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_C06_569486	CHAGOK1_LUNG	ChaGo-K-1	M	10	lung	carcinoma	NS
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_C07_569558	DMS454_LUNG	DMS-454	M	10	lung	carcinoma	small_cell_carcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_C08_569538	CORL47_LUNG	COR-L47	M	10	lung	carcinoma	small_cell_carcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_C10_569430	DMS273_LUNG	DMS-273	F	10	lung	carcinoma	small_cell_carcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_C12_569462	CORL311_LUNG	COR-L311	M	10	lung	carcinoma	small_cell_carcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_D01_569440	NCIH2286_LUNG	NCI-H2286	F	10	lung	carcinoma	small_cell_carcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_D02_569406	NCIH1339_LUNG	NCI-H1339	F	10	lung	carcinoma	small_cell_carcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_D09_569554	NCIH2081_LUNG	NCI-H2081	F	10	lung	carcinoma	small_cell_carcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_D11_569548	NCIH1092_LUNG	NCI-H1092	M	10	lung	carcinoma	small_cell_carcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_E03_569422	NCIH1105_LUNG	NCI-H1105	M	10	lung	carcinoma	small_cell_carcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_E04_569528	NCIH1436_LUNG	NCI-H1436	M	10	lung	carcinoma	small_cell_carcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_E05_569520	NCIH1876_LUNG	NCI-H1876	M	10	lung	carcinoma	small_cell_carcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_E06_569536	CORL24_LUNG	COR-L24	M	10	lung	carcinoma	small_cell_carcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_E11_569432	CORL88_LUNG	COR-L88	M	10	lung	carcinoma	small_cell_carcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_E12_569470	CORL95_LUNG	COR-L95	M	10	lung	carcinoma	small_cell_carcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_F03_569426	CORL51_LUNG	COR-L51	M	10	lung	carcinoma	small_cell_carcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_G03_569408	LC1SQSF_LUNG	LC-1/sq-SF	M	10	lung	carcinoma	squamous_cell_carcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_G09_569586	NCIH2172_LUNG	NCI-H2172	F	10	lung	carcinoma	non_small_cell_carcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_G11_569590	NCIH596_LUNG	NCI-H596	M	10	lung	carcinoma	mixed_adenosquamous_carcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_G12_569550	NCIH650_LUNG	NCI-H650	M	10	lung	carcinoma	bronchioloalveolar_adenocarcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_H01_569452	SW1573_LUNG	SW-1573	F	10	lung	carcinoma	squamous_cell_carcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_H10_569572	HCC366_LUNG	HCC-366	F	10	lung	carcinoma	mixed_adenosquamous_carcinoma
GILDS_p_NCLE_RNA11_Redo_HG-U133_Plus_2_A11_587596	HCC1195_LUNG	HCC-1195	M	11	lung	carcinoma	mixed_adenosquamous_carcinoma
GILDS_p_NCLE_RNA11_Redo_HG-U133_Plus_2_A12_587660	NCIH854_LUNG	NCI-H854	M	11	lung	carcinoma	adenocarcinoma
GILDS_p_NCLE_RNA11_Redo_HG-U133_Plus_2_F02_587572	LC1F_LUNG	LC-1F	M	11	lung	carcinoma	squamous_cell_carcinoma
BITTS_p_NCLE_RNA12_HG-U133_Plus_2_B10_698916	HCC33_LUNG	HCC-33	M	12	lung	carcinoma	small_cell_carcinoma
BITTS_p_NCLE_RNA12_HG-U133_Plus_2_C04_698816	CORL105_LUNG	COR-L105	M	12	lung	carcinoma	adenocarcinoma
BITTS_p_NCLE_RNA12_HG-U133_Plus_2_C07_698840	COLO668_LUNG	COLO-668	F	12	lung	carcinoma	small_cell_carcinoma
BITTS_p_NCLE_RNA12_HG-U133_Plus_2_E04_698784	NCIH1915_LUNG	NCI-H1915	F	12	lung	carcinoma	large_cell_carcinoma
BITTS_p_NCLE_RNA12_HG-U133_Plus_2_E07_698836	HCC2279_LUNG	HCC-2279	F	12	lung	carcinoma	adenocarcinoma
BITTS_p_NCLE_RNA12_HG-U133_Plus_2_E08_698868	HLC1_LUNG	HLC-1	M	12	lung	carcinoma	adenocarcinoma
BITTS_p_NCLE_RNA12_HG-U133_Plus_2_E11_698908	VMRCLCP_LUNG	VMRC-LCP	M	12	lung	carcinoma	squamous_cell_carcinoma
BITTS_p_NCLE_RNA12_HG-U133_Plus_2_F03_698802	HCC1588_LUNG	HCC-1588	F	12	lung	carcinoma	squamous_cell_carcinoma
